,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Elephant & Castle,London Bridge,Queens Road (Peckham),Rotherhithe,South Bermondsey,Surrey Quays,Wapping
47,49723708,"Chaucer Drive, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49723708,"£1,517 pcm",,,Furnished,"Two bedroom one bathroom flat in Bermondsey, a great choice for a couple or two sharers!This property is available soon at a bargain rent and within easy commute of the city or West End. Early viewing recommended! Stock is going quickly!Our Ref: Rpl/iupload/CTL180980",-0.074016,51.489307,19/12/2018,19/12/2018,0.8 miles,,,,,,0.8 miles,,
48,49704944,"Law Street, London SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49704944,"£1,348 pcm",,,Furnished,"A great value for money 1 bedroom apartment with Separate living room and kitchen in London Bridge SE1.The apartment offers a comfortable living space and benefits from being under 10 minutes walk distance to Kings College guys Campus, Borough & London Bridge underground stations. Available 23rd December 2018",-0.087139,51.497211,19/12/2018,19/12/2018,,0.4 miles,,0.6 miles,,,,,
49,45041592,"Burbage Close, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/45041592,"£1,668 pcm",,6th Dec 2018,Part furnished,"This stylish and redecorated two bedroomed apartment boasts size, quality and location. Situated on the top (third) floor of this very well looked after ex-local authority building.Boasting a larger than average stylish kitchen reception room, two generous sized double bedrooms, contemporary bathroom with walk in shower and charming private balcony.Transport links are plentiful with Borough Tube Station (Northern Line) and London Bridge Tube and Train Station (Jubilee Line, Northern Line and London Overground) being in close proximity. The delights of Borough market and Bermondsey Street are within walking distance.",-0.088418,51.495235,19/12/2018,19/12/2018,,0.5 miles,0.5 miles,,,,,,
50,49696829,"Grange Road, Bermondsey, London SE1",2 bed property to rent,https://www.zoopla.co.uk/to-rent/details/49696829,"£1,603 pcm",premium-listing,,,Contemporary and spacious two bedroom apartment in SE1. Perfect commute to London Bridge and walking distance to the city.Perfect flat with great interior and high spec finish make this a great place for two professionals looking for a well-priced property only a short commute away from Central London.Our Ref: Rpl/iupload/CTL161465,-0.076079,51.494377,19/12/2018,19/12/2018,0.6 miles,,,0.8 miles,,,,,
51,49689760,"Manor Estate, London SE16",3 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49689760,"£1,647 pcm",,2nd Dec 2018,Part furnished,"Oppida Estates are delighted to present to the market this light and spacious 3 bedroom flat arranged over two floors. The property comprises 2 double bedrooms, study, large and airy reception room, separate kitchen and bathroom. Benefits include double glazed windows and wood flooring throughout. Bermondsey Underground and South Bermondsey Rail stations are within short walking distance as well as local amenities in The Blue and Surrey Quays shopping centre. The property would be suitable for two sharers or a family.",-0.063164,51.491134,19/12/2018,19/12/2018,0.5 miles,,,,,,0.4 miles,,
52,34180655,"Jamaica Road, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/34180655,"£1,300 pcm",,19th Dec 2018,Furnished,"Oppida Estates are pleased to offer for rent this spacious one double bedroom apartment located on the 4th floor of this popular development in Bermondsey. The apartment comprises of spacious living room with access to a private balcony, separate fully fitted kitchen and lots of storage space. The property benefits from laminate flooring, double glazed windows and gas central heating. Bermondsey tube station is located within a 5 minute walk from the property.",-0.05932,51.498894,19/12/2018,19/12/2018,0.2 miles,,,,,0.3 miles,,,
53,43759054,"Spa Road, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/43759054,"£1,450 pcm",,20th Nov 2018,Part furnished,"A one double bedroom, one bathroom apartment in Bermondsey area. The property is a modern apartment situated within a converted Victorian building, all the property has been converted into a modern and creative space.Has a fully fitted modern kitchen open plan to the reception and wooden floors throughout, full tiled bathroom with shower and a big terrace/balcony.Convenience:- Close to Tower Bridge and London Bridge!- Just off Bermondsey Tube station (5 minutes walking), London Bridge tube (10 minutes walking) & Tower Bridge (5 minutes walking)- Friendly community spirit with the local clubs (yoga, book club, music and theatre)- Convenient close shops (Sainsbury´s, Tesco and The Cooperative)- Close Gym- 3 minutes walking from the trendy and new Maltby Street Market- 10 minutes walking from Borough MarketViewings highly recommended.Price: £1,450 per calendar month / £335 per week",-0.072784,51.495654,19/12/2018,19/12/2018,0.4 miles,,,0.8 miles,,,,,
54,49656044,"Rotherhithe New Road, Surrey Quays, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49656044,"£1,153 pcm",,12th Nov 2018,Unfurnished,"**landlords Christmas sale price reduced **We are pleased to offer this spacious, one bedroom apartment. The property features a separate kitchen double bedroom and spacious lounge. Offered to the market as unfurnished and available now.Situated a short walk from both South Bermondsey and Surrey Quays stations.",-0.054451,51.490405,19/12/2018,19/12/2018,,,,,,,0.1 miles,0.3 miles,
55,49639747,"Maltby Street, London SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49639747,"£1,733 pcm",,12th Jan 2020,Furnished,"A large and modern one double bedroom new build apartment located in the popular Bermondsey Central development. The property benefits from a very good specification throughout and consists of an extremely large open plan reception with fully integrated kitchen, a modern and contemporary bathroom suite, a good size double bedroom with built in wardrobes and a south west facing balcony accessible from both bedroom and reception. Available from mid January. Viewings are highly recommended.",-0.075678,51.49911,19/12/2018,19/12/2018,0.5 miles,,,0.6 miles,,,,,
56,49637904,"Law Street, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49637904,"£1,348 pcm",,,Furnished,"A great value for money 2 double bedroom apartment with no living room in London Bridge SE1. The property features a separate kitchen and living room which the landlord is happy to be used as the second bedroom.The apartment offers a comfortable living space and benefits from being under 10 minutes walk distance to Kings College guys Campus, Borough & London Bridge underground stations. Available 23rd December 2018",-0.087139,51.497211,19/12/2018,19/12/2018,,0.4 miles,,0.6 miles,,,,,
