,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,letting_type,date_added,date_reduced,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Canada Water,Elephant & Castle,Elephant & Castle (Bakerloo),Elephant & Castle (Northern),London Bridge,Monument,Queens Road Peckham,Rotherhithe,South Bermondsey,Southwark,Surrey Quays,Tower Gateway,Tower Hill,Wapping
12,57818124,"The Glass House, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-57818124.html,"£1,447 pcm",,03/01/2019,Unfurnished,Long term,,13 December 2018 (6 days ago),"Complete is delighted to market this luxury one-bedroom/one-bathroom property in the development Glass House. Located on the 2nd floor of this development, the property provides you with an open plan of living space overlooking Tower Bridge Road. The bedroom will benefit from garden views and is carpeted for your comfort. There will be under floor heating throughout the property, with individual control for each room.Our favourite feature of this development is its location! Based at the start of Tower Bridge Road, the development is surrounded by a rich choice of amenities in the area. The development also benefits from a wonderful communal garden available for all residents to enjoy. The open plan kitchen is integrated with top of the range Siemens appliances and storage units. Other appliances in the property include: washing machine, dishwasher, electric oven/hob, microwave, and fridge/freezer.Glass House is located within a 10-minute walk to Borough (Northern Line) and London Bridge (Northern Line, Jubilee Line, National Rail) Underground Stations. You can also walk to the other end of Tower Bridge Road where you would be able to enjoy a number of Londons tourist attractions such as: Tower of London, City Hall, Bermondsey Antique Market, and many more including The Shard, and the famous Borough Market close to London Bridge station. The area is ideal for any full time professional seeking easy access to the City, and is also perfect for students looking to walk to Kings College or Guys Hospital. Shopping amenities like Tesco and Sainsburys are a stone throw away, and you can benefit from lovely walks along the river Thames! For viewings or more information, please contact our expert team of lettings negotiators!PLEASE NOTE THAT IMAGES ARE USED FOR ILLUSTRATION PURSPOSES ONLY",-0.083887,51.495548,18/12/2018,19/12/2018,,0.6 mi,,0.7 mi,,,0.7 mi,,,,,,,,,
13,45783286,"Jamaica Road,London,SE16",1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-45783286.html,"£1,300 pcm",,Now,Furnished,,,12 December 2018 (6 days ago),"Oppida Estates are please to offer for rent this spacious one double bedroom located on the 4th floor of this popular development in Bermondsey. The apartment comprises of spacious living room with access to a private balcony, separate fully fitted kitchen and lots of storage space. The property benefits from laminate flooring, double glazed windows and gas central heating. Bermondsey tube station is located within a 5 minute walk from the property.  Agency Fees ApplyAdministration fee £200 per propertyReference fee £60 per personCheck out fee £100",-0.059409,51.498824,18/12/2018,19/12/2018,0.2 mi,,0.4 mi,,,,,,,0.3 mi,,,,,,
14,58786752,"Newington Causeway, London, Southwark, SE1",2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-58786752.html,"£1,668 pcm",,Now,,,12 December 2018 (6 days ago),,"Well presented throughout, this two double bedroom apartment boasts two bedrooms, a reception, semi open plan kitchen and bathroom.Having been recently redecorated the apartment also benefits from new furnitures and has a modern fitted kitchen. Desirable for those seeking to be close to the tube, local bus services and National rail services from Elephant and castle this two bedroom apartment could be suited for sharers or couples alike.Metro Central Heights is a popular development featuring 24 hour concierge, Gym, Pool and parking for residents. Contact the office for your viewing",-0.0993,51.4963,18/12/2018,19/12/2018,,,,0.1 mi,0.1 mi,0.1 mi,,,,,,,,,,
15,58784886,"Rossetti Road, Bermondsey SE16",2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-58784886.html,"£1,500 pcm",,Now,Unfurnished,Long term,12 December 2018 (6 days ago),,"CONVENIENTLY SITUATED ADJACENT TO SOUTH BERMONDSEY STATION, is this is newly refurbished two bedroom ground floor apartment. Rossetti Road is well presented throughout and internally comprises a spacious reception room, a fully fitted kitchen, two double bedrooms, and a modern bathroom. Further benefits include double glazing, allocated parking and access to well maintained communal gardens.",-0.060897,51.488893,18/12/2018,19/12/2018,0.6 mi,,,,,,,,,,0.3 mi,,0.6 mi,,,
16,57472077,Law Street,2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-57472077.html,"£1,603 pcm",,Now,,,,12 December 2018 (6 days ago),"This recently refurbished two double bed roomed apartment is located in the heart of Borough. Located on the second floor of this small and very well maintained ex-local authority building.Boasting a stylish interior with wooden floors throughout, modern fitted kitchen diner, two generous sized double bedrooms and contemporary bathroom with walk in shower.  For transport Borough tube station ( Northern line)is moments away and London Bridge Train and Tube station (Jubilee, Northern line and overground), as well as the ever vibrant Borough Market and Bermondesy Street are all within easy walking distance.",-0.086988,51.497388,18/12/2018,19/12/2018,,0.4 mi,,,0.6 mi,,0.5 mi,,,,,,,,,
17,58297224,"Grange Road, Bermondsey, London, SE1",2 bedroom property,https://www.rightmove.co.uk//property-to-rent/property-58297224.html,"£1,603 pcm",,Now,,,11 December 2018 (7 days ago),,Contemporary and spacious two bedroom apartment in SE1. Perfect commute to London Bridge and walking distance to the city. Perfect flat with great interior and high spec finish make this a great place for two professionals looking for a well-priced property only a short commute away from Central London. Our Ref: CTL161465,-0.076167,51.494334,18/12/2018,19/12/2018,0.6 mi,0.9 mi,,,,,0.9 mi,,,,,,,,,
18,77817380,"Chatham Street, London, SE17",1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-77817380.html,"£1,473 pcm",,01/02/2019,Unfurnished,,11 December 2018 (7 days ago),,Wonderful 1 bedroom garden ground floor apartment which is just a short walk away from Elephant and Castle Station in Zone 1 - SE1. This small development is situated on a quiet tree lined side street and near local amenities.  Contact Cubix today to arrange a viewing.  Open 7 days a week and happy to accommodate.,-0.088472,51.492916,18/12/2018,19/12/2018,,,,0.6 mi,0.6 mi,0.6 mi,,,,,,,,,,
19,58750755,"Newington Causeway, London SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-58750755.html,"£1,400 pcm",,30/01/2019,Part-furnished,Long term,11 December 2018 (7 days ago),,"GROUND FLOOR - SPACIOUS ONE BED - OPEN PLAN KITCHEN - ZONE-1 - RIGHT OPPOSITE E&C; STATION - AVAILABLE NOW - CALL 020 7820 41 41 TO BOOK A VIEWING Metro Central Heights - this is a marvellous one bedroom apartment, (the single room would convert to a perfect study) in popular and secure development in Zone One. The apartment is spacious and has neutral decor, and is available flexibly furnished. The development benefits from free access to gymnasium, pool, jacuzzi, secure parking, communal Japanese garden, laundry room, and 24hr porter facilities. Please call 020 7820 41 41 to arrange viewings.",-0.099293,51.49597,18/12/2018,19/12/2018,,,,0.1 mi,0.1 mi,0.1 mi,,,,,,,,,,
20,77808719,Oxley Close London SE1,2 bedroom terraced house,https://www.rightmove.co.uk//property-to-rent/property-77808719.html,"£1,647 pcm",,Now,Furnished,Long term,11 December 2018 (7 days ago),,"*AVAILABLE WITH ZERO DEPOSIT* A beautifully presented two double bedroom house in a quiet residential street. Boasting a bright lounge with sliding doors to the secluded private rear garden, a separate kitchen, two large double bedrooms, modern bathroom suite. Further benefits also include a front garden and ample built in storage. Located in a suburban cul-de-sac away from busy main roads but close enough that transport links are plentiful. A multitude of bus operate from the Old Kent Road, as well as the popular Bermondsey routes 78 (Liverpool St/Shoreditch) and number 1 (Holborn, Tottenham Court road). Bermondsey tube (Jubilee line) is also nearby, approximately 14 minutes on foot. Popular attractions include Bermondsey Spa, Southwark and Burgess Parks, the antique and food markets of Bermondsey Square and Maltby Street; as well as Bermondsey Street itself around a 15 minute walk away with the bars restaurants and galleries it offers. Offered furnished and available immediately.Energy Efficiency Rating C",-0.071777,51.489136,18/12/2018,19/12/2018,0.7 mi,,,,,,,,,,0.8 mi,,1.1 mi,,,
21,68859412,"Chaucer Drive, Chaucer Drive",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68859412.html,"£1,300 pcm",,15/01/2019,,,,11 December 2018 (7 days ago),"One bedroom flat within a secure purpose built block which has been refurbished to a high standard. The perfect property for a single professional or couple,Within walking distance to the array of bars and restaurants on Bermondsey Street. Conveniently located close to a Tesco superstore and great bus routes from the Old Kent Road.",-0.073957,51.48933,18/12/2018,19/12/2018,0.7 mi,,,,,,,,,,0.9 mi,,1.2 mi,,,
