,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
78,70210450,"Tennis Street, London Bridge",2,"£440,000", flat,https://www.rightmove.co.uk//property-for-sale/property-70210450.html,Reduced ,2019-01-17 00:00:00,6,51.50203,-0.09054,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
79,77720555,St. James's Road Bermondsey SE1,2,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77720555.html,Added ,2019-01-17 00:00:00,8,51.4894,-0.06586,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
80,78648464,"Slippers Place, London, SE16",2,"£314,500", flat,https://www.rightmove.co.uk//property-for-sale/property-78648464.html,Added ,2019-01-17 00:00:00,6,51.49666,-0.05921,"Oppida , Surrey Quays",020 8012 5950,22/02/2019,21/02/2019
81,59308335,"Tennis Street, Borough",1,"£440,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59308335.html,Reduced ,2019-01-16 00:00:00,15,51.50187,-0.09141,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
82,59555247,"22 Great Dover Street, London, SE1",1,"£465,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59555247.html,Added ,2019-01-15 00:00:00,11,51.499339,-0.092365,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
83,59547798,"St Helena Road, Surrey Quays, London, SE16 2QU",1,"£270,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59547798.html,Added ,2019-01-15 00:00:00,7,51.490482,-0.048013,"Holland Properties, London",020 8012 3149,22/02/2019,21/02/2019
84,69467833,"Alaska Buildings, 61 Grange Road, London, SE1",1,"£425,000", ground floor flat,https://www.rightmove.co.uk//property-for-sale/property-69467833.html,Added ,2019-01-15 00:00:00,6,51.495318,-0.077356,"Williams Lynch, London",020 8012 2590,22/02/2019,21/02/2019
85,78575036,"Kirby Estate, Southwark Park Road, London, SE16",3,"£350,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78575036.html,Added ,2019-01-14 00:00:00,4,51.4982,-0.05958,"Oppida , Surrey Quays",020 8012 5950,22/02/2019,21/02/2019
86,59462772,"Culloden Close, London, London, SE16 3JH",3,"£495,000", terraced house,https://www.rightmove.co.uk//property-for-sale/property-59462772.html,Added ,2019-11-01 00:00:00,14,51.48568,-0.06495,"Pattinson Estate Agents, Auction",0191 687 0599,22/02/2019,21/02/2019
87,78503297,"Devonshire House, Bath Terrace, London, SE1",2,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78503297.html,Added ,2019-11-01 00:00:00,8,51.496984,-0.096349,"Stirling Ackroyd, London Bridge",020 8012 2405,22/02/2019,21/02/2019
